Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides UV control-1	Peptides UV-control-2	Peptides UV-control-3	Peptides UV-test-1	Peptides UV-test-2	Razor + unique peptides UV control-1	Razor + unique peptides UV-control-2	Razor + unique peptides UV-control-3	Razor + unique peptides UV-test-1	Razor + unique peptides UV-test-2	Unique peptides UV control-1	Unique peptides UV-control-2	Unique peptides UV-control-3	Unique peptides UV-test-1	Unique peptides UV-test-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type UV control-1	Identification type UV-control-2	Identification type UV-control-3	Identification type UV-test-1	Identification type UV-test-2	Sequence coverage UV control-1 [%]	Sequence coverage UV-control-2 [%]	Sequence coverage UV-control-3 [%]	Sequence coverage UV-test-1 [%]	Sequence coverage UV-test-2 [%]	Intensity	Intensity UV control-1	Intensity UV-control-2	Intensity UV-control-3	Intensity UV-test-1	Intensity UV-test-2	LFQ intensity UV control-1	LFQ intensity UV-control-2	LFQ intensity UV-control-3	LFQ intensity UV-test-1	LFQ intensity UV-test-2	MS/MS count UV control-1	MS/MS count UV-control-2	MS/MS count UV-control-3	MS/MS count UV-test-1	MS/MS count UV-test-2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
ENSMODG00000013206|ENSMODT00000016833	ENSMODG00000013206|ENSMODT00000016833	8	8	8	ENSMODG00000013206|ENSMODT00000016833	1	8	8	8	0	7	8	0	0	0	7	8	0	0	0	7	8	0	0	8.3	8.3	8.3	184.39	1838	1838	0	83.234		By MS/MS	By MS/MS			0	7.4	8.3	0	0	5118500	0	3513000	1605500	0	0	0	47396	35304	0	0	0	4	8	0	0	12				177	245;404;512;624;823;1043;1107;1356	True;True;True;True;True;True;True;True	266;437;551;670;873;1109;1175;1442	724;725;1151;1152;1444;1445;1446;1447;1742;1743;2316;2317;2831;2832;3002;3691;3692;3693;3694	479;750;950;951;1164;1165;1541;1542;1892;1997;2435;2436	479;750;951;1164;1542;1892;1997;2435		

ENSMODG00000013248|ENSMODT00000016875;ENSMODG00000009767|ENSMODT00000012427;ENSMODG00000015264|ENSMODT00000019410	ENSMODG00000013248|ENSMODT00000016875;ENSMODG00000009767|ENSMODT00000012427	5;4;2	5;4;2	5;4;2	ENSMODG00000013248|ENSMODT00000016875;ENSMODG00000009767|ENSMODT00000012427	3	5	5	5	0	5	4	0	0	0	5	4	0	0	0	5	4	0	0	20.8	20.8	20.8	33.679	288	288;184;309	0	67.826		By MS/MS	By MS/MS			0	20.8	16	0	0	7430200	0	6576000	854200	0	0	0	77763	30009	0	0	0	5	2	0	0	7				178	104;456;648;1341;1454	True;True;True;True;True	111;491;695;1426;1544	318;319;1292;1797;1798;3653;3654;3936;3937	206;840;1205;2413;2414;2595;2596	206;840;1205;2413;2596		

ENSMODG00000013290|ENSMODT00000016930	ENSMODG00000013290|ENSMODT00000016930	1	1	1	ENSMODG00000013290|ENSMODT00000016930	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0.2	0.2	0.2	506.64	4410	4410	0.0072202	5.6817	By matching	By matching	By MS/MS	By matching		0.2	0.2	0.2	0.2	0	3671200	28709	2531700	448190	662530	0	0	0	0	47981	0	0	0	0	0	0	0				179	1023	True	1089	2769;2770;2771;2772	1857	1857	101	3105

ENSMODG00000013326|ENSMODT00000016975	ENSMODG00000013326|ENSMODT00000016975	8	8	7	ENSMODG00000013326|ENSMODT00000016975	1	8	8	7	0	7	6	1	0	0	7	6	1	0	0	7	5	1	0	13.1	13.1	11.5	81.004	716	716	0	86.057		By MS/MS	By MS/MS	By matching		0	11.5	9.1	1.1	0	2287000	0	1651100	590220	45692	0	0	18655	16620	0	0	0	4	4	0	0	8				180	43;101;261;272;310;847;956;1248	True;True;True;True;True;True;True;True	44;107;283;295;336;898;1019;1326	111;112;304;768;769;803;804;905;906;907;2362;2363;2615;3394	78;79;197;507;528;594;1578;1751;2249	79;197;507;528;594;1578;1751;2249		

ENSMODG00000013334|ENSMODT00000016986	ENSMODG00000013334|ENSMODT00000016986	3	3	3	ENSMODG00000013334|ENSMODT00000016986	1	3	3	3	0	2	2	1	2	0	2	2	1	2	0	2	2	1	2	26.4	26.4	26.4	13.75	125	125	0	21.958		By matching	By MS/MS	By MS/MS	By MS/MS	0	16	16	10.4	16	6146300	0	4090700	1586100	241350	228160	0	0	36729	0	41852	0	0	1	1	1	3				181	18;232;976	True;True;True	18;253;1040	46;47;48;693;694;695;2665	35;462;1790	35;462;1790		

ENSMODG00000013473|ENSMODT00000017165	ENSMODG00000013473|ENSMODT00000017165	18	18	18	ENSMODG00000013473|ENSMODT00000017165	1	18	18	18	0	18	18	0	0	0	18	18	0	0	0	18	18	0	0	46.9	46.9	46.9	60.725	550	550	0	201		By MS/MS	By MS/MS			0	46.9	46.9	0	0	54226000	0	38346000	15880000	0	0	0	531070	324590	0	0	0	11	14	0	0	25				182	95;217;249;397;439;442;470;496;651;652;741;999;1039;1124;1237;1336;1365;1472	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	99;237;271;428;474;477;508;535;698;699;790;1065;1105;1196;1313;1420;1421;1452;1562;1563	271;272;649;650;736;737;1132;1133;1247;1248;1249;1250;1256;1257;1341;1342;1406;1407;1805;1806;1807;1808;2078;2079;2711;2712;2824;2825;3058;3059;3060;3061;3370;3371;3627;3628;3629;3713;3714;3977;3978;3979	177;431;432;486;738;809;810;811;815;816;877;925;926;1210;1211;1382;1383;1819;1888;2037;2038;2231;2393;2394;2449;2624;2625;2626	177;431;486;738;811;816;877;925;1210;1211;1383;1819;1888;2038;2231;2393;2449;2625	102;103;104	98;406;450

ENSMODG00000013539|ENSMODT00000017253	ENSMODG00000013539|ENSMODT00000017253	10	10	9	ENSMODG00000013539|ENSMODT00000017253	1	10	10	9	1	6	6	3	8	1	6	6	3	8	1	5	5	3	7	43.9	43.9	43.9	19.329	164	164	0	89.209	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	4.3	30.5	35.4	19.5	39	320980000	106880	37988000	224340000	3963300	54582000	0	552390	6373600	997620	8231000	0	0	9	3	9	21				183	52;181;257;960;961;1238;1352;1411;1431;1432	True;True;True;True;True;True;True;True;True;True	53;192;279;1023;1024;1314;1437;1499;1520;1521	128;129;130;131;132;538;539;540;758;759;2620;2621;2622;2623;2624;2625;2626;2627;2628;2629;2630;2631;3372;3673;3825;3826;3890;3891;3892;3893;3894	91;92;93;354;500;1755;1756;1757;1758;1759;1760;1761;1762;1763;2232;2428;2517;2518;2560;2561;2562	91;354;500;1755;1762;2232;2428;2517;2561;2562		

ENSMODG00000013554|ENSMODT00000017274;ENSMODG00000013554|ENSMODT00000017273	ENSMODG00000013554|ENSMODT00000017274;ENSMODG00000013554|ENSMODT00000017273	2;2	1;1	1;1	ENSMODG00000013554|ENSMODT00000017274;ENSMODG00000013554|ENSMODT00000017273	2	2	1	1	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	4.1	2	2	48.834	441	441;496	0.0038911	5.9872		By MS/MS		By matching		0	4.1	0	2	0	331600	0	331600	0	0	0	0	4492.6	0	0	0	0	1	0	0	0	1				184	794;1391	True;False	844;1478	2239;3775;3776	1491;2487;2488	1491;2488		

ENSMODG00000013601|ENSMODT00000017329	ENSMODG00000013601|ENSMODT00000017329	14	14	14	ENSMODG00000013601|ENSMODT00000017329	1	14	14	14	0	8	12	4	9	0	8	12	4	9	0	8	12	4	9	74.4	74.4	74.4	18.229	160	160	0	323.31		By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	54.4	71.9	25.6	58.1	1636000000	0	13494000	1579800000	34028000	8635800	0	141950	31415000	3957500	2768800	0	7	37	8	5	57				185	234;235;559;601;602;662;964;1003;1053;1095;1129;1176;1375;1376	True;True;True;True;True;True;True;True;True;True;True;True;True;True	255;256;598;643;644;709;1027;1028;1069;1119;1120;1163;1202;1250;1462;1463	699;700;701;702;703;1552;1673;1674;1675;1676;1677;1830;1831;2637;2638;2639;2640;2641;2642;2643;2644;2645;2719;2720;2721;2722;2723;2724;2862;2863;2864;2865;2974;2975;2976;2977;2978;2979;3074;3075;3076;3077;3078;3079;3203;3204;3205;3206;3207;3208;3209;3210;3211;3212;3737;3738;3739;3740;3741;3742	464;465;466;1032;1112;1113;1114;1115;1226;1768;1769;1770;1771;1772;1773;1774;1775;1776;1777;1825;1826;1827;1828;1829;1830;1831;1906;1907;1908;1975;1976;1977;1978;1979;2048;2049;2050;2051;2052;2053;2054;2055;2127;2128;2129;2130;2131;2132;2133;2134;2135;2136;2137;2462;2463;2464;2465;2466;2467	464;466;1032;1112;1114;1226;1771;1830;1908;1976;2053;2134;2462;2467	105	76

ENSMODG00000013609|ENSMODT00000044302;ENSMODG00000013609|ENSMODT00000017342	ENSMODG00000013609|ENSMODT00000044302;ENSMODG00000013609|ENSMODT00000017342	1;1	1;1	1;1	ENSMODG00000013609|ENSMODT00000044302;ENSMODG00000013609|ENSMODT00000017342	2	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0.9	0.9	0.9	97.19	859	859;961	1	-2				By MS/MS		0	0	0	0.9	0	79764	0	0	0	79764	0	0	0	0	5776.5	0	0	0	0	1	0	1	+			186	911	True	967	2517	1680	1680	106	126

ENSMODG00000013825|ENSMODT00000035786	ENSMODG00000013825|ENSMODT00000035786	2	2	2	ENSMODG00000013825|ENSMODT00000035786	1	2	2	2	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	4.3	4.3	4.3	82.366	722	722	0	27.406		By MS/MS				0	4.3	0	0	0	365920	0	365920	0	0	0	0	4957.7	0	0	0	0	2	0	0	0	2				187	571;1474	True;True	610;1565	1576;3982	1048;2628	1048;2628		

ENSMODG00000013861|ENSMODT00000017749	ENSMODG00000013861|ENSMODT00000017749	4	4	4	ENSMODG00000013861|ENSMODT00000017749	1	4	4	4	0	4	1	0	1	0	4	1	0	1	0	4	1	0	1	7.9	7.9	7.9	102.13	900	900	0	32.414		By MS/MS	By matching		By matching	0	7.9	3	0	3	2175900	0	1978500	129780	0	67635	0	26806	0	0	0	0	4	0	0	0	4				188	0;694;1388;1405	True;True;True;True	0;743;1475;1493	0;1;2;1934;3763;3813	0;1298;2482;2509	0;1298;2482;2509		

ENSMODG00000013918|ENSMODT00000017729	ENSMODG00000013918|ENSMODT00000017729	1	1	1	ENSMODG00000013918|ENSMODT00000017729	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	6.5	6.5	6.5	31.605	277	277	0	6.3205			By MS/MS			0	0	6.5	0	0	175270	0	0	175270	0	0	0	0	3832.3	0	0	0	0	1	0	0	1				189	1417	True	1505	3839	2526	2526		

ENSMODG00000013926|ENSMODT00000017735	ENSMODG00000013926|ENSMODT00000017735	2	2	2	ENSMODG00000013926|ENSMODT00000017735	1	2	2	2	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	9.2	9.2	9.2	24.608	240	240	0	16.104		By MS/MS				0	9.2	0	0	0	986070	0	986070	0	0	0	0	13360	0	0	0	0	2	0	0	0	2				190	450;607	True;True	485;649	1279;1689	832;1123	832;1123		

ENSMODG00000013940|ENSMODT00000017755	ENSMODG00000013940|ENSMODT00000017755	6	6	6	ENSMODG00000013940|ENSMODT00000017755	1	6	6	6	4	2	2	2	6	4	2	2	2	6	4	2	2	2	6	53.1	53.1	53.1	10.593	96	96	0	70.714	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	47.9	14.6	14.6	31.2	53.1	24167000	2574000	5845700	1506900	317130	13923000	1062700	545890	209970	269370	3300200	3	3	2	1	6	15				191	303;357;729;1114;1115;1218	True;True;True;True;True;True	329;385;778;1183;1184;1292	885;886;1042;1043;1044;2035;2036;2037;2038;2039;2040;2041;2042;2043;3015;3016;3017;3018;3019;3020;3318;3319	582;675;1356;1357;1358;1359;1360;1361;1362;2005;2006;2007;2008;2009;2197	582;675;1361;2005;2009;2197		

ENSMODG00000013951|ENSMODT00000033764	ENSMODG00000013951|ENSMODT00000033764	3	3	3	ENSMODG00000013951|ENSMODT00000033764	1	3	3	3	0	3	1	0	0	0	3	1	0	0	0	3	1	0	0	15.7	15.7	15.7	27.21	229	229	0	19.078		By MS/MS	By matching			0	15.7	4.8	0	0	1334500	0	1270600	63878	0	0	0	17215	0	0	0	0	2	0	0	0	2				192	777;816;1094	True;True;True	826;866;1162	2169;2301;2302;2973	1439;1529;1974	1439;1529;1974		

ENSMODG00000013967|ENSMODT00000017788	ENSMODG00000013967|ENSMODT00000017788	3	3	3	ENSMODG00000013967|ENSMODT00000017788	1	3	3	3	0	3	2	0	0	0	3	2	0	0	0	3	2	0	0	25.2	25.2	25.2	18.89	163	163	0	17.564		By MS/MS	By matching			0	25.2	19.6	0	0	7321400	0	6964200	357250	0	0	0	92969	9196.2	0	0	0	3	0	0	0	3				193	19;66;1387	True;True;True	19;67;1474	49;178;179;3761;3762	36;122;2481	36;122;2481		

ENSMODG00000014003|ENSMODT00000017840	ENSMODG00000014003|ENSMODT00000017840	1	1	1	ENSMODG00000014003|ENSMODT00000017840	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	5.1	5.1	5.1	27.524	237	237	0	7.8951			By MS/MS			0	0	5.1	0	0	473240	0	0	473240	0	0	0	0	10347	0	0	0	0	1	0	0	1				194	49	True	50	125	88	88		

ENSMODG00000014054|ENSMODT00000017899	ENSMODG00000014054|ENSMODT00000017899	18	18	18	ENSMODG00000014054|ENSMODT00000017899	1	18	18	18	0	12	13	4	11	0	12	13	4	11	0	12	13	4	11	48.2	48.2	48.2	42.504	394	394	0	182.6		By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	33.2	33.8	9.9	34.3	224910000	0	34928000	187290000	201790	2490500	0	178420	3734900	233940	855080	0	8	17	1	4	30				195	82;203;250;256;265;266;273;276;374;453;478;514;666;780;1070;1102;1346;1355	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	85;223;272;278;288;289;296;300;402;488;516;517;553;713;714;829;1137;1170;1431;1441	227;228;229;230;608;609;738;757;784;785;786;787;788;789;790;805;806;807;812;813;814;1083;1286;1287;1288;1359;1360;1361;1362;1363;1364;1365;1450;1451;1839;1840;1841;1842;1843;1844;2175;2176;2909;2910;2996;3663;3685;3686;3687;3688;3689;3690	151;152;405;487;499;518;519;529;533;534;700;836;837;892;893;894;895;896;897;953;1231;1232;1233;1234;1235;1445;1446;1931;1992;2420;2433;2434	151;405;487;499;518;519;529;533;700;836;893;953;1231;1446;1931;1992;2420;2434	107;108;109	40;132;143

ENSMODG00000014124|ENSMODT00000017989;REV__ENSMODG00000019765|ENSMODT00000028902;REV__ENSMODG00000019765|ENSMODT00000025105	ENSMODG00000014124|ENSMODT00000017989	46;1;1	46;1;1	46;1;1	ENSMODG00000014124|ENSMODT00000017989	3	46	46	46	21	33	31	20	35	21	33	31	20	35	21	33	31	20	35	39.7	39.7	39.7	88.557	764	764;1156;1160	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	23.2	34.7	33.8	22.4	33.8	199950000	1210700	126970000	50474000	8016300	13273000	1399400	1419400	1097200	1034100	2218900	9	30	18	12	21	90				196	114;115;125;280;281;304;305;315;366;451;489;510;511;583;600;633;634;770;802;808;811;842;854;860;914;915;935;989;996;1027;1028;1046;1047;1050;1068;1069;1074;1083;1179;1180;1202;1359;1393;1394;1485;1486	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	123;124;134;304;305;330;331;341;394;486;528;549;550;624;642;679;680;819;852;858;861;892;905;911;971;972;997;1055;1062;1093;1094;1112;1113;1116;1135;1136;1141;1150;1253;1254;1276;1445;1480;1481;1577;1578	365;366;367;368;369;370;371;372;398;399;400;401;402;403;404;405;825;826;827;828;829;830;887;888;889;890;891;892;917;918;919;920;921;922;923;1062;1063;1064;1065;1280;1281;1282;1394;1437;1438;1439;1440;1441;1442;1443;1610;1611;1612;1613;1614;1672;1760;1761;1762;1763;1764;2150;2151;2152;2153;2257;2258;2259;2260;2261;2283;2292;2345;2346;2347;2348;2377;2390;2391;2392;2393;2394;2523;2524;2525;2526;2527;2572;2573;2574;2575;2690;2691;2692;2702;2703;2704;2705;2706;2782;2783;2784;2785;2786;2787;2788;2789;2790;2791;2792;2840;2841;2842;2843;2844;2849;2850;2851;2904;2905;2906;2907;2908;2922;2923;2924;2948;2949;2950;2951;3218;3219;3220;3221;3222;3279;3699;3700;3701;3702;3779;3780;3781;3782;3783;3784;3785;3786;3787;4005;4006;4007;4008;4009;4010;4011	230;231;232;233;234;235;251;252;253;254;255;541;542;543;583;584;585;586;602;603;604;605;606;688;689;833;834;917;945;946;947;948;949;1071;1111;1176;1177;1178;1179;1428;1429;1430;1431;1500;1518;1522;1565;1566;1588;1594;1595;1596;1685;1686;1718;1719;1720;1808;1815;1816;1866;1867;1868;1869;1870;1871;1897;1898;1901;1902;1927;1928;1929;1930;1940;1957;1958;2141;2142;2143;2144;2174;2439;2440;2491;2492;2493;2643;2644;2645;2646	230;233;252;541;543;585;586;605;689;834;917;947;948;1071;1111;1178;1179;1431;1500;1518;1522;1566;1588;1595;1685;1686;1719;1808;1816;1870;1871;1897;1898;1902;1927;1930;1940;1958;2143;2144;2174;2440;2491;2493;2645;2646	110	490

ENSMODG00000014168|ENSMODT00000018042	ENSMODG00000014168|ENSMODT00000018042	4	4	4	ENSMODG00000014168|ENSMODT00000018042	1	4	4	4	0	4	4	0	1	0	4	4	0	1	0	4	4	0	1	38	38	38	18.658	163	163	0	39.12		By MS/MS	By MS/MS		By matching	0	38	38	0	10.4	3751100	0	1810500	1921200	0	19380	0	16996	37826	0	0	0	3	3	0	0	6				197	498;691;851;1295	True;True;True;True	537;740;902;1376;1377	1410;1411;1921;1922;2371;2372;2373;3514;3515;3516;3517	928;1290;1584;2324;2325;2326	928;1290;1584;2326	111	30

ENSMODG00000014270|ENSMODT00000029713	ENSMODG00000014270|ENSMODT00000029713	1	1	1	ENSMODG00000014270|ENSMODT00000029713	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1.1	1.1	1.1	136.84	1211	1211	1	-2				By MS/MS		0	0	0	1.1	0	175480	0	0	0	175480	0	0	0	0	12708	0	0	0	0	1	0	1	+			198	1468	True	1558	3968	2619	2619	112	1194

ENSMODG00000014294|ENSMODT00000018190	ENSMODG00000014294|ENSMODT00000018190	11	11	11	ENSMODG00000014294|ENSMODT00000018190	1	11	11	11	3	9	9	5	8	3	9	9	5	8	3	9	9	5	8	13.2	13.2	13.2	110.22	1038	1038	0	96.669	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4	11.6	11.6	6.6	9.2	12297000	96900	5738700	5478200	400170	583440	89492	77925	120740	43987	67996	0	7	6	2	6	21				199	130;585;738;939;991;997;1212;1249;1321;1378;1425	True;True;True;True;True;True;True;True;True;True;True	139;626;787;1001;1057;1063;1286;1327;1403;1404;1465;1513;1514	411;412;413;414;1617;1618;2064;2065;2066;2067;2068;2069;2581;2582;2583;2695;2696;2707;2708;3309;3395;3396;3582;3583;3584;3585;3586;3587;3588;3589;3744;3745;3746;3747;3871;3872;3873;3874;3875;3876;3877;3878;3879	260;261;262;1074;1377;1378;1727;1810;1817;2191;2250;2362;2363;2364;2365;2469;2470;2548;2549;2550;2551;2552	260;1074;1378;1727;1810;1817;2191;2250;2364;2470;2551	113;114	698;755

ENSMODG00000014344|ENSMODT00000018258	ENSMODG00000014344|ENSMODT00000018258	1	1	1	ENSMODG00000014344|ENSMODT00000018258	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	10.9	10.9	10.9	16.777	156	156	0	8.0428		By MS/MS	By MS/MS			0	10.9	10.9	0	0	387470	0	329800	57672	0	0	0	0	1261	0	0	0	1	1	0	0	2				200	908	True	964	2511;2512	1675;1676	1676		

ENSMODG00000014397|ENSMODT00000018334	ENSMODG00000014397|ENSMODT00000018334	1	1	1	ENSMODG00000014397|ENSMODT00000018334	1	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	6	6	6	39.167	368	368	0	27.117		By MS/MS		By MS/MS		0	6	0	6	0	425090	0	268610	0	156480	0	0	0	0	11333	0	0	1	0	1	0	2				201	20	True	20	50;51	37;38	38		

ENSMODG00000014414|ENSMODT00000018349	ENSMODG00000014414|ENSMODT00000018349	1	1	1	ENSMODG00000014414|ENSMODT00000018349	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	2	2	51.197	450	450	1	-2				By MS/MS		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	+			202	290	True	315	854	561	561	115	370

ENSMODG00000014431|ENSMODT00000018386	ENSMODG00000014431|ENSMODT00000018386	1	1	1	ENSMODG00000014431|ENSMODT00000018386	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1.2	1.2	1.2	181.27	1581	1581	0	8.194			By MS/MS			0	0	1.2	0	0	78156	0	0	78156	0	0	0	0	1708.9	0	0	0	0	1	0	0	1				203	840	True	890	2340	1561	1561		

ENSMODG00000014630|ENSMODT00000018612	ENSMODG00000014630|ENSMODT00000018612	1	1	1	ENSMODG00000014630|ENSMODT00000018612	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	4.6	4.6	4.6	52.148	474	474	0.003876	5.9765	By MS/MS	By matching	By matching		By MS/MS	4.6	4.6	4.6	0	4.6	7405700	89878	193940	149190	0	6972700	0	0	0	0	1341600	1	0	0	0	1	2				204	370	True	398	1071;1072;1073;1074	693;694	694		

ENSMODG00000014681|ENSMODT00000018686	ENSMODG00000014681|ENSMODT00000018686	2	2	2	ENSMODG00000014681|ENSMODT00000018686	1	2	2	2	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	3.6	3.6	3.6	78.939	718	718	0	14				By MS/MS		0	0	0	3.6	0	277810	0	0	0	277810	0	0	0	0	20119	0	0	0	0	2	0	2				205	94;1296	True;True	98;1378	270;3518	176;2327	176;2327	116;117	153;166

ENSMODG00000014761|ENSMODT00000018790	ENSMODG00000014761|ENSMODT00000018790	4	4	4	ENSMODG00000014761|ENSMODT00000018790	1	4	4	4	0	4	0	0	0	0	4	0	0	0	0	4	0	0	0	19.1	19.1	19.1	43.948	387	387	0	31.695		By MS/MS				0	19.1	0	0	0	2551200	0	2551200	0	0	0	0	34565	0	0	0	0	4	0	0	0	4				206	314;787;1285;1492	True;True;True;True	340;837;1365;1584	916;2219;3486;4031	601;1478;2310;2661	601;1478;2310;2661		

ENSMODG00000014781|ENSMODT00000018819	ENSMODG00000014781|ENSMODT00000018819	12	12	12	ENSMODG00000014781|ENSMODT00000018819	1	12	12	12	4	10	10	4	8	4	10	10	4	8	4	10	10	4	8	43.8	43.8	43.8	32.196	292	292	0	95.924	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.7	36.6	36.6	16.8	28.1	67622000	129810	50921000	14267000	552440	1751400	107780	759340	319550	56704	261100	1	12	8	3	5	29				207	190;225;227;286;480;668;687;1137;1138;1283;1428;1451	True;True;True;True;True;True;True;True;True;True;True;True	206;246;248;311;519;716;736;1211;1212;1363;1517;1541	567;568;569;570;674;675;676;677;678;679;680;683;684;844;845;846;1370;1371;1372;1373;1847;1848;1849;1850;1912;1913;1914;3099;3100;3101;3102;3103;3480;3481;3482;3483;3484;3884;3885;3932	378;449;450;451;452;453;455;456;554;555;556;900;901;902;1238;1239;1240;1241;1242;1284;1285;2069;2070;2306;2307;2308;2555;2556;2557;2592	378;451;456;556;900;1241;1285;2069;2070;2306;2557;2592		

ENSMODG00000014829|ENSMODT00000018885	ENSMODG00000014829|ENSMODT00000018885	1	1	1	ENSMODG00000014829|ENSMODT00000018885	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1.3	1.3	1.3	58.787	525	525	1	-2		By MS/MS	By matching			0	1.3	1.3	0	0	4344200	0	3079700	1264500	0	0	0	0	27649	0	0	0	0	0	0	0	0	+			208	718	True	767	2011;2012	1339	1339	118;119	3;4

ENSMODG00000014882|ENSMODT00000018947;ENSMODG00000003443|ENSMODT00000004299	ENSMODG00000014882|ENSMODT00000018947	26;1	18;1	14;1	ENSMODG00000014882|ENSMODT00000018947	2	26	18	14	5	21	20	12	13	4	15	15	7	9	3	11	11	7	7	71.4	53.6	46.4	28.523	248	248;974	0	250.17	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	22.2	63.7	62.1	35.5	38.3	973170000	242310	630030000	278620000	61545000	2724100	645230	10155000	7006800	1241100	786720	0	15	11	6	4	36				209	36;48;59;60;61;100;163;164;313;332;567;568;640;642;643;705;717;750;751;752;871;1079;1167;1279;1280;1488	True;True;True;True;True;True;True;True;True;True;False;False;True;False;False;True;True;False;False;False;True;False;True;True;True;True	37;49;60;61;62;106;173;174;339;359;606;607;686;688;689;754;766;799;800;801;922;1146;1241;1359;1360;1580	94;95;96;121;122;123;124;155;156;157;158;159;160;161;162;302;303;499;500;501;502;503;504;912;913;914;915;974;975;976;977;978;979;980;981;1564;1565;1566;1567;1568;1569;1570;1775;1776;1777;1778;1779;1780;1781;1784;1785;1786;1787;1788;1789;1790;1964;1965;1966;1967;1968;1969;2005;2006;2007;2008;2009;2010;2102;2103;2104;2105;2106;2107;2108;2109;2424;2425;2426;2427;2428;2938;2939;2940;2941;3181;3182;3468;3469;3470;3471;3472;3473;3474;4014;4015	65;66;85;86;87;105;106;107;108;109;196;324;325;326;327;328;598;599;600;634;635;1041;1042;1043;1044;1045;1188;1189;1190;1191;1194;1195;1196;1197;1198;1199;1316;1317;1318;1337;1338;1397;1398;1399;1400;1401;1402;1611;1612;1613;1948;1949;1950;2114;2297;2298;2299;2300;2649	66;85;107;108;109;196;325;328;599;634;1041;1044;1191;1196;1199;1317;1338;1398;1399;1402;1611;1950;2114;2297;2300;2649		

ENSMODG00000014904|ENSMODT00000018974	ENSMODG00000014904|ENSMODT00000018974	2	2	2	ENSMODG00000014904|ENSMODT00000018974	1	2	2	2	0	2	1	0	0	0	2	1	0	0	0	2	1	0	0	19.8	19.8	19.8	13.253	111	111	0	16.078		By MS/MS	By matching			0	19.8	11.7	0	0	990150	0	936600	53550	0	0	0	12689	0	0	0	0	1	0	0	0	1				210	570;1395	True;True	609;1482	1574;1575;3788	1047;2494	1047;2494		

ENSMODG00000014943|ENSMODT00000019023	ENSMODG00000014943|ENSMODT00000019023	5	5	5	ENSMODG00000014943|ENSMODT00000019023	1	5	5	5	0	5	5	1	2	0	5	5	1	2	0	5	5	1	2	13	13	13	60.451	532	532	0	41.423		By MS/MS	By MS/MS	By matching	By matching	0	13	13	1.7	4.5	3761700	0	2732500	970980	35584	22631	0	33785	18679	0	10141	0	6	3	0	0	9				211	213;422;467;1056;1063	True;True;True;True;True	233;456;505;1123;1130	634;635;636;637;638;1199;1200;1201;1331;1332;2870;2871;2872;2887;2888	421;422;423;780;870;871;1911;1912;1920	422;780;871;1912;1920		

